wallet_age_days,avg_tx,recent_tx,tx_frequency,tx_per_min,tx_per_hour,tx_per_day,avg_time_between_tx_sec,wallet,token,source
182,332.76351177777775,0.001,0.0989010989010989,6.844460397952137e-05,0.004106676238771282,0.09856022973051079,876621.3333333334,0x0e9aec4392b15113277331c90b7798e30d9d1460,usdt,normal
336,8533.4897136,45146.616735,0.0744047619047619,5.166523599887604e-05,0.0030999141599325625,0.0743979398383815,1161322.48,0x925b4da386cde43772c5e83f97442896e2d7f0bd,usdt,normal
0,489.3800258333334,0.000155,6.0,0.02431118314424635,1.4586709886547813,35.00810372771475,2468.0,0x65140368d89c5309f6449a897c2b41ef9b89aadb,usdt,normal
187,69.00457263636365,101.2,0.11764705882352941,8.128188928667752e-05,0.004876913357200652,0.11704592057281564,738171.8181818182,0x51273cd3379948ce3f28bb02b65b66efa5c52cd4,usdt,normal
657,30274.754169157895,26610.164607,0.0289193302891933,2.0060934560809126e-05,0.0012036560736485475,0.028887745767565143,2990887.5789473685,0xfe68b5e62308cdf8baeb70a6b568690c99399f1b,usdt,normal
210,676.1742305686274,700.0,0.24285714285714285,0.00016801307734729093,0.010080784640837457,0.24193883138009895,357115.0588235294,0x47a2cbde64e2d671d9cfde2bee8b68645b4e10f7,usdt,normal
1315,418.8596462857143,156.072004,0.00532319391634981,3.6964621583135596e-06,0.0002217877294988136,0.005322905507971526,16231736.57142857,0x563b1fda1e50313b86dc61827fdd1796c1acdb52,usdt,normal
76,4027.618971,5065.018668,0.06578947368421052,4.520223479848844e-05,0.0027121340879093063,0.06509121810982335,1327368.0,0xf6c584360c778a3ede67c73314d45de46521268b,usdt,normal
95,508.41713373333334,199.99,0.15789473684210525,0.00010862575386273181,0.006517545231763908,0.1564210855623338,552355.2,0x23b921b4e3993c492b35ea463c47ee251bc6b1c8,usdt,normal
432,451.29516379999995,823.842449,0.046296296296296294,3.21397074515269e-05,0.0019283824470916135,0.04628117873019873,1866849.6,0x918b63be2717306e66f97d5e93381c77d1d7a6c9,usdt,normal
1,1254.1079542857144,2268.252232,7.0,0.004629629629629629,0.2777777777777778,6.666666666666666,12960.0,0x0f1a9ae29cd413f92d329d3183d3c694bbced130,usdt,normal
738,3013.4249603658536,0.0003,0.9444444444444444,0.0006556908224921707,0.039341449349530246,0.9441947843887258,91506.54232424677,0x640d5e4ab17482b878cb8127425e30bf6689c4ac,usdt,normal
789,8332.520256727272,17785.954335,0.02788339670468948,1.934332914520949e-05,0.0011605997487125696,0.02785439396910167,3101844.5454545454,0xf2f65a9379a98a9073eaeeee55c900bf2cd5cf4f,usdt,normal
1,626.4656154285714,2192.629654,7.0,0.0032747005988023954,0.19648203592814373,4.7155688622754495,18322.285714285714,0x3a591dd12fa95478f7381e022698d9673698dfe8,usdt,normal
210,7224.58900925,13296.712074,0.0761904761904762,5.2817761556856333e-05,0.0031690656934113804,0.07605757664187313,1135981.5,0x8547401e7b9dc17194c8a9d82148137427f204b9,usdt,normal
0,120.00059999999999,0.0,5.0,0.14705882352941177,8.823529411764707,211.76470588235296,408.0,0x77448fdf82ca7e98e273b729877f37c788157411,usdt,normal
207,292.4206413888889,128.3,0.17391304347826086,0.00012020683589563108,0.007212410153737865,0.17309784368970874,499139.6666666667,0x6f53bf83f0ea8f00989fb034f8af611dec9e6501,usdt,normal
332,1459.0540249577468,2508.870076,0.42771084337349397,0.00029693645225345493,0.017816187135207294,0.42758849124497506,202063.4366197183,0x0a81c25fe2c7a60aa6d225e80695dc7b55d9ce65,usdt,normal
188,248197.00591406453,631336.270408,0.16489361702127658,0.00011395519171582516,0.00683731150294951,0.16409547607078823,526522.7419354839,0xbe286d574b1ea46f54955bd856821f84dfd20b2e,usdt,normal
1463,1061.7617308636363,0.001,0.015037593984962405,1.0435702600437944e-05,0.0006261421560262767,0.015027411744630641,5749493.090909091,0xb0c727752b3ce8de6e772001545f7cc5dce6e757,usdt,normal
1280,10852.664744158996,50000.0005,0.18671875,0.0001296623235032655,0.007779739410195929,0.1867137458447023,462740.4351464435,0x6801f2e1e800084686c5c4efe1c96c3e5ca2e59f,usdt,normal
1,97.40636,0.001,10.0,0.006463288521199586,0.3877973112719752,9.307135470527404,9283.2,0x2185c903e28d864a5a950378b176b21970b792e5,usdt,normal
25,2525.4680961111117,0.000499,2.16,0.001461466012795947,0.08768796076775681,2.1045110584261635,41054.666666666664,0x4713d324291289f6e76e4d886d61ab37b2cfe904,usdt,normal
1214,4473.432447413265,3700.0,0.3228995057660626,0.00022405646222848158,0.013443387733708895,0.3226413056090135,267789.64285714284,0x5483d8142a1f9b22e6aee41d33eff43b928a198b,usdt,normal
797,1741.4182,0.0,0.050188205771643665,3.4833435221131354e-05,0.0020900061132678813,0.05016014671842915,1722483.0,0x7c96349203f795a0e447b2c161f9f7865eb5e176,usdt,normal
429,10839.708376,30500.0,0.018648018648018648,1.29332267204344e-05,0.0007759936032260641,0.018623846477425536,4639213.5,0xaf2358e98683265cbd3a48509123d390ddf54534,usdt,normal
83,26541.477124444446,0.0,0.10843373493975904,7.501737902614106e-05,0.004501042741568463,0.10802502579764311,799814.6666666666,0x00e9fec55aec66b9aece8e678fa8c99804afc334,usdt,normal
1989,98658.8639471325,2032.859993,0.159376571141277,0.00011063436412355356,0.006638061847413212,0.15931348433791712,542326.9747634069,0x7582d0b7a150f6227b447a0f282bff612f0f4b3e,usdt,normal
512,2242.081592,3200.0,0.009765625,6.770002174524699e-06,0.00040620013047148193,0.009748803131315566,8862626.4,0xa3d8f843276b6f88bb6e20c4b543dc3a8f51eaae,usdt,normal
677,428.37063764935067,495.179612,0.2274741506646972,0.0001578697992408718,0.009472187954452307,0.22733251090685538,380060.02597402595,0x7eb9e83e62f20c3d851c5535ae4460e184a7b344,usdt,normal
172,143.76212702777778,0.16542,2.7209302325581395,0.00188539535693193,0.1131237214159158,2.714969313981979,31823.5641025641,0xeb4e92d8474b8160eb14917db6de2ae99c7ba83d,usdt,normal
38,0.001,0.001,1.1578947368421053,0.0007847921549322403,0.047087529295934426,1.130100703102426,76453.36363636363,0x6ba08f3335851e6d112e87755ac4d6636e60f477,usdt,normal
0,8.17302296153846,0.000233,26.0,0.13612565445026178,8.167539267015707,196.02094240837695,440.7692307692308,0xf4a51e3abd0cdcf0828f6f8ea7ae975577879c05,usdt,normal
48,368.2703216216216,500.0,0.7708333333333334,0.0005349603840148054,0.032097623040888326,0.7703429529813197,112157.83783783784,0xdb0663dd59ee5acac6a6144ae7f128ff4d68a22d,usdt,normal
951,15796.860073848839,0.179057,0.0904311251314406,6.274055714490195e-05,0.003764433428694117,0.0903464022886588,956319.2093023256,0x8c68c973c4a61027d7d8ecf6f5ed11965dd059db,usdt,normal
27,0.0010000000000000005,0.001,0.5185185185185185,0.0003512169667899271,0.021073018007395625,0.505752432177495,170834.57142857142,0xab3681127a203d10ed734bf53d2a3aeb518ca0ec,usdt,normal
1056,3075.4255008571427,4529.97613,0.013257575757575758,9.206498472707663e-06,0.0005523899083624598,0.013257357800699037,6517135.714285715,0x85ce5615fec06a9590ac69d950f12498a5104f01,usdt,normal
11,310.95444691935484,119.916,11.272727272727273,0.0073953027899376165,0.443718167396257,10.64923601751017,8113.258064516129,0x1a67c97c98f94c641899eea44ce2fcc9007732a5,usdt,normal
598,26729.35161997333,0.000357,0.1254180602006689,8.705527522467226e-05,0.005223316513480335,0.12535959632352806,689217.28,0x4cd2539dbc558d4dbe60f80a5ffdd552458e334b,usdt,normal
1,45.4015674,84.887837,5.0,0.0024271844660194173,0.14563106796116504,3.495145631067961,24720.0,0x1fac62d5d79ef4e1449a090a975b2d72b1d57d13,usdt,normal
15,45.07075580000001,166.9834,3.6666666666666665,0.0024914610833778775,0.14948766500267266,3.5877039600641436,24082.254545454547,0xb57a082c099f6d27c6159be220440b3faaf2f3f5,usdt,normal
1047,1253.0464623428572,546.85,0.033428844317096466,2.3211657823025037e-05,0.0013926994693815023,0.033424787265156054,2584908.0,0xd67d1084d253f1960ddc63caa63d0adb1a52e299,usdt,normal
69,1833.4100178139536,6283.32,2.4927536231884058,0.0017152111305235782,0.1029126678314147,2.4699040279539526,34981.11627906977,0x55ae24f7f0c92ee88067adfb97f252dac53a37ef,usdt,normal
471,7716.0925682727275,1116.0,0.04670912951167728,3.237856786062145e-05,0.0019427140716372871,0.04662513771929489,1853077.6363636365,0xbb0d2de274c4421c32b4e1154d1b313e07148765,usdt,normal
135,9295.011091304348,1740.377524,0.34074074074074073,0.00023657537600055954,0.014194522560033574,0.34066854144080577,253618.95652173914,0xc048fd116c5c097430fc2ae26dfeacb656847352,usdt,normal
370,45.08006702453988,4.597518,0.8810810810810811,0.0006107423967255215,0.03664454380353129,0.879469051284751,98241.09202453987,0x8f3614bf724d07fa6c3dab0cc3f9cf147208e1c8,usdt,normal
94,296.9469956119403,60.0,2.1382978723404253,0.0014849224959109224,0.08909534975465533,2.1382883941117283,40406.149253731346,0x46f3ad9e5268673b53c8b91f56eb11db042bddbe,usdt,normal
108,249856.0643568919,0.000199,0.3425925925925926,0.00023741629471447164,0.014244977682868296,0.34187946438883915,252720.64864864864,0x8cf0ff1497fe65e823bd077af11ca458a1a2b151,usdt,normal
